idChemicals,Pubchem_CID,CAS,Name,IUPAC_name,Odor_notes,Odor_tags,Odor_sources,OR_sources,Olfactory_Receptors
0,712.0,8013-13-6,formaldehyde,formaldehyde,coffee;roasted;sharp,coffee;roasted;sharp,TGSC,,
1,612.0,152-36-3,lactic acid,2-hydroxypropanoic acid,butter;milk;odorless;sour;unpleasant,buttermilk odor and taste;odorless;sour;unpleasant,TGSC;FlavorBase10;SigmaAldrich;Flavornet,,
2,5780.0,123236-29-3,D-Sorbitol,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",caramel;caramellic;odorless;sweet,caramel;caramellic;odorless;sweet taste,TGSC;FlavorBase10;SigmaAldrich,,
3,54670067.0,53262-66-1,ascorbic acid,"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one",acid;grassy;green;odorless;sharp,grassy;green;odorless with a sharp;pleasant acid taste,TGSC;FlavorBase10;OdorRactor;;SigmaAldrich,,
4,5610.0,51-67-2,tyramine,4-(2-aminoethyl)phenol,amine;cheese;cooked;dirty;fishy;meaty;phenolic;ripe;rubbery;smoked,adds to ripe cheese notes;amine;cooked;cookedrubbery;dirty;meaty;phenolic;smoked fishy note,TGSC;FlavorBase10;SigmaAldrich,,
5,60960.0,52-89-1,L-Cysteine hydrochloride,(2R)-2-amino-3-sulfanylpropanoic acid;hydrochloride,meat;odorless;savory,odorless;used in reaction flavors for meat & savory,TGSC;FlavorBase10,,
6,5862.0,202114-66-7,L-cysteine,(2R)-2-amino-3-sulfanylpropanoic acid,meat;odorless;sour;sulfurous,odorless;sour taste;sulfurous;used in reaction flavors for meat,TGSC;FlavorBase10;SigmaAldrich;Flavorbase,,
7,89594.0,104062-50-2,nicotine,3-[(2S)-1-methylpyrrolidin-2-yl]pyridine,apricot;floral;rose,apricot;floral;rose,TGSC,,
8,16760658.0,90218-94-3,Sodium salicylate,sodium;2-hydroxybenzoate,fruity;sulfurous;tropical,fruity;sulfurous;tropical,TGSC,,
9,92729.0,54-28-4,gamma-Tocopherol,"(2R)-2,7,8-trimethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-ol",fruity;grassy;green;licorice;oily;pear;tropical;winey,fruity;grassy;green;licorice;oily;pear;tropical;winey,TGSC,,
10,1245.0,2394-20-9,Vanillylmandelic acid,2-hydroxy-2-(4-hydroxy-3-methoxyphenyl)acetic acid,sweet;vanilla;vanillin,sweet;vanilla;vanillin precursor (see comments),TGSC;FlavorBase10;Flavorbase,,
11,135408763.0,195-66-4,"2,4-Diamino-6-hydroxypyrimidine","2,4-diamino-1H-pyrimidin-6-one",citrus;earthy;green,citrus;earthy;green,TGSC,,
12,119.0,53504-43-1,4-aminobutyric acid,4-aminobutanoic acid,acidic;bitter;meaty;savory;sour;umami,acidic;meaty;savory;sour;umami flavor enhancer & bitter blocker,TGSC;FlavorBase10;OdorRactor,,
13,750.0,18875-39-3,glycine,2-aminoacetic acid,odorless;seafood;sweet,flavor enhancer for seafood;odorless;sweet taste,TGSC;FlavorBase10,,
14,5950.0,77160-91-9,L-alanine,(2S)-2-aminopropanoic acid,odorless;sweet,odorless;sweet,TGSC;FlavorBase10;SigmaAldrich,,
15,441074.0,101143-86-6,quinidine,"(S)-[(2R,4S,5R)-5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl]-(6-methoxyquinolin-4-yl)methanol",caramellic;sweet,caramellic;sweet,TGSC,,
16,753.0,8043-29-6,glycerol,"propane-1,2,3-triol",almond;odorless;sweet;warm,almond;odorless;sweet;warm taste at high concentrations,TGSC;FlavorBase10,,
17,5960.0,39162-75-9,L-aspartic acid,(2S)-2-aminobutanedioic acid,odorless;salt,odorless;used in reaction flavors & salt replacers,TGSC;FlavorBase10,,
18,5961.0,184161-19-1,L-glutamine,"(2S)-2,5-diamino-5-oxopentanoic acid",cocoa;custard;milky;odorless;oily;salt;sweet,cocoa;custard;mildly sweet;milky;odorless;oily;used in reaction flavors & salt replacers,TGSC;FlavorBase10;SigmaAldrich,,
19,33032.0,6899-05-4,L-glutamic acid,(2S)-2-aminopentanedioic acid,bready;odorless;umami;yeast,bready;odorless;umami character;yeasty,TGSC;FlavorBase10;SigmaAldrich;OdoRactor,,
20,5962.0,20166-34-1,L-lysine,"(2S)-2,6-diaminohexanoic acid",odorless,odorless,TGSC;FlavorBase10,,
21,5971.0,8007-40-7,ALLYL ISOTHIOCYANATE,3-isothiocyanatoprop-1-ene,garlic;mustard;onion;penetrating;pungent;sharp;stinging;sulfurous,garlic;mustard;onion;penetrating;pungent;sharp;stinging;sulfurous,TGSC;FlavorBase10;SigmaAldrich;Pubchem,,
22,985.0,67701-02-4,palmitic acid,hexadecanoic acid,bland;creamy;fatty;mouthfeel;odorless;wax;waxy,adds mouthfeel;almost odorless;bland waxy taste;creamy;fatty;wax;waxy,TGSC;FlavorBase10;SigmaAldrich;Pubchem,Audouze et al|https://doi.org/10.1371/journal.pone.0093037,OR51E1;
23,5281.0,68937-76-8,stearic acid,octadecanoic acid,fatty;fried;lard;mouthfeel;odorless;oily;savory;tallow;wax;waxy,almost odorless with little taste & a waxy mo;fatty;fried;lard;odorless;oily;savorytallow;wax;waxy,TGSC;FlavorBase10;SuperScent;Pubchem,,
24,5984.0,25702-76-5,D-(-)-Fructose,"(3S,4R,5R)-1,3,4,5,6-pentahydroxyhexan-2-one",odorless;sugar;sweet,odorless;sugar sweet,TGSC;FlavorBase10,,
25,1030.0,4254-16-4,propylene glycol,"propane-1,2-diol",alcoholic;odorless;sweet,alcoholic;odorless;sweet taste,TGSC;FlavorBase10;OdorRactor;,,
26,2519.0,114303-55-8,caffeine,"1,3,7-trimethylpurine-2,6-dione",bitter;odorless;soft,a flavor enhancer in soft drinks;odorless;odorless with a bitter taste,TGSC;FlavorBase10,,
27,229.0,57066-79-2,Pentopyranose,"oxane-2,3,4,5-tetrol",caramellic;odorless;smoky;sweet;woody,caramellic;odorless;smoky;sweet;woody,TGSC,,
28,86472.0,26243-95-8,Vitamin E acetate,"[(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydrochromen-6-yl] acetate",citrus;fatty;green,citrus;fatty;green,TGSC,,
29,135398658.0,32108-06-8,folic acid,(2S)-2-[[4-[(2-amino-4-oxo-3H-pteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid,odorless,odorless,TGSC,,
30,5284451.0,59-33-6,PYRILAMINE MALEATE,"(Z)-but-2-enedioic acid;N'-[(4-methoxyphenyl)methyl]-N,N-dimethyl-N'-pyridin-2-ylethane-1,2-diamine",balsamic;clean;spicy;woody,balsamic;clean;spicy;woody,TGSC,,
31,876.0,33807-07-7,DL-METHIONINE,2-amino-4-methylsulfanylbutanoic acid,acidic;sulfurous;sulfury,acidic;somewhat sulfury odor;sulfurous,TGSC;FlavorBase10;SigmaAldrich,,
32,6047.0,122769-74-8,levodopa,"(2S)-2-amino-3-(3,4-dihydroxyphenyl)propanoic acid",odorless,odorless,TGSC,,
33,6050.0,60-01-5,TRIBUTYRIN,"2,3-di(butanoyloxy)propyl butanoate",acidic;bitter;butter;buttery;caramel;cheese;cheesy;creamy;fatty;fruity;sweet;wax;waxy,butter;buttery;caramel;cheese;cheesy;creamy;fatty;fruity;slight bitter taste;waxacidic;waxy;weak sweet,TGSC;FlavorBase10;SigmaAldrich;Pubchem,,
34,6054.0,19601-20-8,2-PHENYLETHANOL,2-phenylethanol,aromatic;bready;dried;floral;fresh;honey;lilac;rose;spice;sweet,aromatic;bready;dried;floral;fresh;honey;lilac;rose;spice;sweet,TGSC;FlavorBase10;SigmaAldrich;Flavornet;Flavorbase;Pubchem,Audouze et al|https://doi.org/10.1371/journal.pone.0093037;Ruiz Tejada Segura et al|https://doi.org/10.1016/j.celrep.2022.110547,Or13a21;;Or2c1;OR2C1;Or6a2;OR6A2
35,6057.0,1189756-47-5,L-tyrosine,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,odorless,odorless,TGSC;FlavorBase10,,
36,1567.0,155613-89-1,2-mercaptoethanol,2-sulfanylethanol,burnt;fruit;meaty;poultry;rubber;sulfurous,burnt-rubber;meaty;modifier for fruit flavors;poultry-like in dilution;sulfurous,TGSC;FlavorBase10,,
37,3283.0,68890-95-9,DIETHYL ETHER,ethoxyethane,ethereal;pungent;sweet,ethereal;pungent;sweet,TGSC;AOD;Pubhcem,OlfactionDB|http://article.sapub.org/10.5923.j.als.20110101.01.html,Or5d18;OR5D16
38,5280450.0,85594-37-2,linoleic acid,"(9Z,12Z)-octadeca-9,12-dienoic acid",fatty;mouthfeel;oily;waxy,fatty;fatty oily;waxy mouthfeel,TGSC;FlavorBase10;SigmaAldrich;Flavorbase;OdoRactor,,
39,2206.0,60-80-0,antipyrine,"1,5-dimethyl-2-phenylpyrazol-3-one",apple;floral;green;herbal;pear,apple;floral;green;herbal;pear,TGSC,,
40,4788.0,60-82-2,phloretin,"3-(4-hydroxyphenyl)-1-(2,4,6-trihydroxyphenyl)propan-1-one",bitter;odorless;sweet,odorless;sweetness enhancer (see comments);used as a bitterness supressor,TGSC;FlavorBase10,,
41,6106.0,71000-80-1,L-leucine,(2S)-2-amino-4-methylpentanoic acid,bitter;cheese;odorless,modifier for cheese flavor;odorless;slight bitter taste,TGSC;FlavorBase10,,
42,6093170.0,7732-93-6,62-33-9,calcium;disodium;2-[2-[bis(carboxylatomethyl)amino]ethyl-(carboxylatomethyl)amino]acetate,odorless,odorless,TGSC,,
43,6140.0,67675-33-6,L-phenylalanine,(2S)-2-amino-3-phenylpropanoic acid,cocoa;odorless,odorless;used in reaction flavors to generate cocoa ar,TGSC;FlavorBase10;SigmaAldrich;Pubchem,,
44,6144.0,7379-28-4,Edetate sodium,tetrasodium;2-[2-[bis(carboxylatomethyl)amino]ethyl-(carboxylatomethyl)amino]acetate,aldehydic;fresh;green;orange;waxy,aldehydic;fresh;green;orange;waxy,TGSC,,
45,1001.0,64-04-0,Phenethylamine,2-phenylethanamine,ammoniacal;ammonical;fishy,ammoniacal;ammonical;fishy,TGSC;FlavorBase10;Pubchem,Audouze et al|https://doi.org/10.1371/journal.pone.0093037;Ruiz Tejada Segura et al|https://doi.org/10.1016/j.celrep.2022.110547;Von der Weid et al|https://doi.org/doi:10.1038/nn.4100,Or2b4;;Or2c1;OR2C1;Or52i2;OR52I1;Or6a2;OR6A2;Q5QD13;;Q5QD15;;Q5QD16;
46,702.0,42845-45-4,ethanol,ethanol,alcoholic;ethereal;fragrant;medicinal;solvent;sweet;vinous,alcoholic;ethereal;fragrant;medicinal;primarily used as a solvent;sweet;vinous,TGSC;FlavorBase10;Flavornet;Flavorbase;Pubchem,Audouze et al|https://doi.org/10.1371/journal.pone.0093037,Or2b4;
47,284.0,82069-14-5,formic acid,formic acid,acetic;fermented;fruity;penetrating;pungent;sharp;sour;vinegar,acetic;fruityfermented;penetrating odor;pungent;sharp;sour fruity taste;vinegar,TGSC;FlavorBase10;SigmaAldrich;Pubchem,,
48,176.0,158461-04-2,acetic acid,acetic acid,acetic;acid;acidic;green;herbaceous;pungent;sharp;sour;vinegar;woody,acetic;acid taste;acidic;green;herbaceous;pungent;sharp;sour;vinegar odor with sour;woody,TGSC;FlavorBase10;SigmaAldrich;PubChem,Audouze et al|https://doi.org/10.1371/journal.pone.0093037,OR2W1;
49,243.0,14322-82-8,benzoic acid,benzoic acid,balsamic;burning;unpleasant;urine,balsamic;balsamic odor and burning taste;unpleasant;urine,TGSC;FlavorBase10;SigmaAldrich;Pubchem,Audouze et al|https://doi.org/10.1371/journal.pone.0093037,OR51E1;
50,6184.0,861259-78-1,HEXANAL,hexanal,aldehydic;clean;fatty;fresh;fruit;fruity;grassy;green;leafy;penetrating;sharp;sweaty;tallow;unripe;vegetable;woody,aldehydic;clean;fatty;fresh;fruity;fruitysharp;grassy;grassy unripe fruit odor;green;leafy;penetrating;sweaty;tallow;vegetable;woody,TGSC;FlavorBase10;SigmaAldrich;AOD;Pubchem,Audouze et al|https://doi.org/10.1371/journal.pone.0093037;ODORactor|https://doi.org/10.1093/bioinformatics/btr385;OdorDB|https://senselab.med.yale.edu/odordb/,OR1A1;;OR1A2;;OR1G1;;OR2W1;;OR52D1;;Or2b4;;Or2l13b;OR2L13;Or51b17;OR51B2;Or51b6;OR51B6;Or51v14;OR51V1;Or6a2;OR6A2
51,6195.0,30678-61-6,1-Naphthaldehyde,naphthalene-1-carbaldehyde,woody,woody,TGSC,,
52,2723635.0,66-84-2,Glucosamine hydrochloride,"(3R,4R,5S,6R)-3-amino-6-(hydroxymethyl)oxane-2,4,5-triol;hydrochloride",odorless,odorless,TGSC,,
53,6202.0,67-03-8,THIAMINE HYDROCHLORIDE,"2-[3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-4-methyl-1,3-thiazol-3-ium-5-yl]ethanol;chloride;hydrochloride",bitter;meaty;sour;vitamin,bitter;characteristic vitamin odor;meaty taste (see comments);sour,TGSC;FlavorBase10;SigmaAldrich;Pubchem,,
54,237332.0,67-47-0,5-HYDROXYMETHYLFURFURAL,5-(hydroxymethyl)furan-2-carbaldehyde,buttery;caramel;caramellic;cardboard;chamomile;fatty;hay;herbaceous;musty;sweet;tobacco;wax;waxy;winey,buttery;caramel;caramellic;cardboard;chamomile;fatty;herbaceous winey hay-like odor;musty;sweet herbaceous hay & tobacco-like taste;wax;waxy,TGSC;FlavorBase10;SigmaAldrich;Pubchem;OdoRactor,,
55,887.0,170082-17-4,methanol,methanol,alcoholic,alcoholic,TGSC,,
56,3776.0,8003-15-4,isopropanol,propan-2-ol,alcohol;alcoholic;bitter;buttery;musty;rubbing;unpleasant;woody,"alcoholic;bitter taste;buttery;characteristic unpleasant ""rubbing-alcohol"" o;musty;woody",TGSC;FlavorBase10;Flavornet;Pubchem,,
57,180.0,67-64-1,acetone,propan-2-one,apple;ethereal;fruity;pear;solvent,apple;ethereal;fruitycharacteristic;pear;solvent,TGSC;FlavorBase10;Flavornet;PubChem,,
58,679.0,103759-08-6,dimethyl sulfoxide,methylsulfinylmethane,buttery;cheese;cheesy;corn;cream;fatty;garlic;mushroom;oily;oyster;salty;sulfurous,buttery;cheese;cheesy;fatty;garlic;garlic and cream corn taste;mushroom;oily;oyster;salty;sulfurous,TGSC;FlavorBase10;SigmaAldrich;PubChem,,
59,6213.0,67-71-0,Dimethyl sulfone,methylsulfonylmethane,burnt;sulfurous,burnt;sulfurous,TGSC;Flavornet,,
60,6224.0,8055-55-8,Sodium citrate,"trisodium;2-hydroxypropane-1,2,3-tricarboxylate",buffer;cooling;odorless;salty,a buffer;cooling taste at high levels;odorless;odorless with a slight salty,TGSC;FlavorBase10,,
61,6251.0,85085-15-0,D-mannitol,"(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol",odorless,odorless,TGSC,,
62,338.0,8052-31-1,salicylic acid,2-hydroxybenzoic acid,burning;medicinal;nutty;phenolic;sweet,burning taste at high levels;medicinal;nutty;phenolic;sweetness enhancer,TGSC;FlavorBase10;SigmaAldrich,,
63,66144.0,70-23-5,Ethyl bromopyruvate,ethyl 3-bromo-2-oxopropanoate,alliaceous;garlic;onion;roasted;sulfurous,alliaceous;garlic;onion;roasted;sulfurous,TGSC,,
64,6267.0,70-47-3,L-asparagine,"(2S)-2,4-diamino-4-oxobutanoic acid",odorless;salt,odorless;used in reaction flavors & in salt replacers,TGSC;FlavorBase10,,
65,866.0,6899-06-5,DL-Lysine,"2,6-diaminohexanoic acid",odorless,odorless,TGSC;FlavorBase10,,
66,6274.0,7006-35-1,L-histidine,(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid,fishy;odorless;salt,fishy;odorless;used in reaction flavors & in seasonings for ,TGSC;FlavorBase10;ADB,,
67,1031.0,71-31-8,1-propanol,propan-1-ol,alcoholic;apple;bland;earthy;fermented;fruity;fusel;musty;peanut;pear;sweet;tequila;yeast,alcoholic;apple;bland fermented;earthy;fermented;fermented sweet odor;fusel fruity flavor;musty;peanut;pear;tequila;yeastyfruity,TGSC;FlavorBase10;SigmaAldrich;Pubchem,,
68,263.0,35296-72-1,1-butanol,butan-1-ol,alcoholic;balsamic;banana;fermented;fusel;medicinal;oil;oily;sweet;vanilla;whiskey;winey,alcoholic;balsamic;banana;fermented;fusel oil-like;medicinal;oily;sweet;vanilla;whiskey;winey,TGSC;FlavorBase10;SigmaAldrich;Flavorbase,Audouze et al|https://doi.org/10.1371/journal.pone.0093037,Or6a2;OR6A2
69,6276.0,30899-19-5,1-Pentanol,pentan-1-ol,alcoholic;balsamic;bready;burning;chemical;ethereal;fermented;fusel;oily;pungent;solvent;sweet;vanilla;winey;yeast,alcoholic-breathtaking;balsamic;bready;etherealchemical;fermented;fusel-like odor with a burning taste;oily;pungent;solvent;sweet;vanilla;winey;yeasty,TGSC;FlavorBase10;SigmaAldrich;AOD;Flavorbase;Pubchem,Audouze et al|https://doi.org/10.1371/journal.pone.0093037;ODORactor|https://doi.org/10.1093/bioinformatics/btr385;OlfactionDB|http://article.sapub.org/10.5923.j.als.20110101.01.html;Ruiz Tejada Segura et al|https://doi.org/10.1016/j.celrep.2022.110547,OR51E1;;Or11g2;OR11G2;Or52i2;OR52I1;Or5p57;OR5P3
70,241.0,25053-22-9,benzene,benzene,aromatic;gasoline,aromatic;gasoline,TGSC;AOD;ADB;Pubchem,Audouze et al|https://doi.org/10.1371/journal.pone.0093037;OdorDB|https://senselab.med.yale.edu/odordb/,OR1A1;;OR5K1;;Or2l13b;OR2L13
71,23666456.0,312-85-6,compound sodium lactate solution,sodium;2-hydroxypropanoate,odorless,odorless,TGSC,,
72,6287.0,7004-03-7,L-valine,(2S)-2-amino-3-methylbutanoic acid,odorless;salt,odorless;used in reaction flavors & salt replacers,TGSC;FlavorBase10,,
73,6288.0,7013-32-3,L-threonine,"(2S,3R)-2-amino-3-hydroxybutanoic acid",savory;sweet,pleasantly sweet;savory,TGSC;FlavorBase10,,
74,6305.0,80206-30-0,L-tryptophan,(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,vanilla,vanilla,TGSC,,
75,6306.0,1160211-67-5,l-isoleucine,"(2S,3S)-2-amino-3-methylpentanoic acid",bitter;odorless,odorless;slightly bitter taste,TGSC;FlavorBase10,,
76,6322.0,4455-52-1,L-arginine,(2S)-2-amino-5-(diaminomethylideneamino)pentanoic acid,odorless;salt;sour,flavor enhancer & used in salt replacers;hint of sourness;odorless,TGSC;FlavorBase10;SigmaAldrich,,
77,768.0,143334-20-7,hydrogen cyanide,formonitrile,coumarinic;floral;hawthorn;hay;sweet,coumarinic;floral;hawthorn;hay;sweet,TGSC,,
78,878.0,17719-48-1,methanethiol,methanethiol,alcoholic;alliaceous;cabbage;cheesy;coffee;creamy;decayed;decomposing;disagreeable;eggy;garlic;gasoline;meaty;oily;pungent;rotting;savory;solvent;sulfurous;unpleasant;vegetable;vegetative,"alcoholic;alliaceous;cabbage;cheesy;creamy;decayed;decomposing;disagreeable;eggy;garlic;gasoline;meaty & coffee taste;odor of ""rotting"" cabbage;oily;pungent;savory;solvent;sulfurous;unpleasant;vegetable;vegetative",TGSC;FlavorBase10;Flavornet;AOD;Pubchem,,
79,6341.0,75-04-7,Ethanamine,ethanamine,amine;ammoniacal;ammonical;cheese;fishy;ripe,ammoniacal;ammoniacal amine odor;ammonical;fishy;ripe cheese notes in dilution,TGSC;FlavorBase10;SuperScent;Flavorbase;Pubchem,,
80,177.0,75-07-0,acetaldehyde,acetaldehyde,alcoholic;aldehydic;citrus;coffee;ethereal;fresh;fruity;musty;nutty;penetrating;pungent;suffocating;winey,aldehydic;coffee;enhances citrus;ethereal;fresh;fruity;in dilution a nutty alcoholic note;musty;penetratingsuffocating;pungent;winey,TGSC;FlavorBase10;SigmaAldrich;AOD;PubChem,Audouze et al|https://doi.org/10.1371/journal.pone.0093037;OdorDB|https://senselab.med.yale.edu/odordb/,Or10a48;OR10A3;Or2a25;OR2A25;Or2b4;
81,6343.0,75-08-1,Ethanethiol,ethanethiol,alliaceous;coffee;fruity;garlic;leek;meaty;onion;penetrating;rubbery;skunk;sulfurous;tropical;vegetable;vegetative,alliaceous;coffee;fruity;garlic;leek;meaty;onion;penetrating;rubbery;skunk;sulfurous;tropical;vegetable;vegetative,TGSC;FlavorBase10;SigmaAldrich;Flavorbase;Pubchem,Ruiz Tejada Segura et al|https://doi.org/10.1016/j.celrep.2022.110547,Or4e2;OR4E2
82,6344.0,75-09-2,DICHLOROMETHANE,dichloromethane,balsamic;caramellic;green;licorice;sweet,balsamic;caramellic;green;licorice;sweet,TGSC,,
83,1068.0,31533-72-9,dimethyl sulfide,methylsulfanylmethane,berry;cabbage;cooked;corn;creamy;fishy;fruity;green;onion;potato;pungent;radish;rotten;seafood;sulfurous;sweet;tomato;unpleasant;vegetable,berry;cabbage;cooked vegetable odor;corn;creamy;fishy;fruity;green;onion;potato;pungent;radish;rottenvegetables;seafood;sulfurous;sweet;tomato;unpleasant;vegetable,TGSC;FlavorBase10;SigmaAldrich;Pubchem,,
84,6363.0,75-31-0,ISOPROPYLAMINE,propan-2-amine,amine;ammoniacal;ammonical;cheesy;fishy,ammoniacal;ammonical;fishy;fishy amine-like;slightly cheesy on dilution,TGSC;FlavorBase10;OdorRactor;Pubchem,,
85,6364.0,75-33-2,2-Propanethiol,propane-2-thiol,alliaceous;brothy;chicken;gassy;leek;meaty;onion;poultry;pungent;ripe;sharp;skunk;sulfurous;unpleasant,alliaceous;brothy chicken and poultry;chickenunpleasant;gassy;leek and onion-like;meaty;onion;pungent;ripe;sharp;skunk;sulfurous,TGSC;FlavorBase10;SigmaAldrich;Pubchem,Ruiz Tejada Segura et al|https://doi.org/10.1016/j.celrep.2022.110547,Or4e2;OR4E2
86,6372.0,75-45-6,CHLORODIFLUOROMETHANE,chloro(difluoro)methane,cabbage;fruity;sulfurous;sweet;tropical,cabbage;fruity;sulfurous;sweet;tropical,TGSC,,
87,1146.0,75-50-3,trimethylamine,"N,N-dimethylmethanamine",ammoniacal;ammonical;fish;fishy;fruity;meaty;oily;pungent;rancid;rotten;sweaty,ammonical;fish;fishy;fruity;meaty;oily;pungent ammoniacal fishy odor and taste;rancid;rottenrotten;sweaty,TGSC;FlavorBase10;SigmaAldrich;Pubchem,,
88,6378.0,75-56-9,Propylene oxide,2-methyloxirane,ethereal;sweet,ethereal;sweet,TGSC,,
89,6386.0,25-65-0,tert-Butanol,2-methylpropan-2-ol,camphoraceous;camphoreous;ethereal;fermented;musty;sweaty,camphoraceous;camphoreous;ethereal;somewhat musty fermented;sweaty,TGSC;FlavorBase10;OdorRactor;Pubchem,,
90,6387.0,16528-55-5,2-Methyl-2-propanethiol,2-methylpropane-2-thiol,meaty;offensive;roasted;skunk;sulfurous;tropical,offensive;skunk;somewhat roasted meaty & tropical on dilution;sulfurous,TGSC;FlavorBase10;Pubchem,Ruiz Tejada Segura et al|https://doi.org/10.1016/j.celrep.2022.110547,Or4e2;OR4E2
91,6405.0,25-85-4,2-METHYL-2-BUTANOL,2-methylbutan-2-ol,camphoraceous;ethereal;fermented;fusel;pungent;sweaty,camphoraceous;fusel-fermented;pungent;sweaty ethereal,TGSC;FlavorBase10,,
92,6425.0,76-09-5,PINACOL,"2,3-dimethylbutane-2,3-diol",bready;earthy;ethereal;herbal;minty;patchouli;warm;woody,bready;earthy;ethereal;herbal;patchouli;slightly minty;warm;woody,TGSC;FlavorBase10;OdorRactor,,
93,2537.0,464-48-2,camphor,"1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",aromatic;bitter;camphor;camphoraceous;camphoreous;cooling;fresh;medicinal;minty;penetrating,aromatic;bitter taste;camphoraceous;camphoreous;fresh;medicinal;minty-cooling characteristic camphor odor;penetrating,TGSC;FlavorBase10;SigmaAldrich;Pubchem,Audouze et al|https://doi.org/10.1371/journal.pone.0093037;ODORactor|https://doi.org/10.1093/bioinformatics/btr385;Ruiz Tejada Segura et al|https://doi.org/10.1016/j.celrep.2022.110547,OR1G1;;OR52D1;;Or1j12;;Or2b4;;Or5g26;
94,93009.0,76-49-3,(-)-Bornyl acetate,"[(1S,2R,4S)-1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl] acetate",balsamic;camphoraceous;cedar;fir;fresh;herbaceous;herbal;mentholic;pine;spicy;sweet;woody,balsamic;cedar;fir needle;fresh;herbaceous;herbal;mentholic;pine;spicy;spicycamphoraceous;sweet;woody,TGSC;FlavorBase10;SigmaAldrich;Flavorbase;OdoRactor,,
95,60968.0,276885-74-6,Isobornyl isovalerate,"(1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl) 3-methylbutanoate",apple;camphoraceous;camphoreous;earthy;fruity;green;herbaceous;herbal;minty;oil;pine;root;tropical;valerian;woody,apple;camphoreous;earthy;fruity;green;herbaceous;herbal;minty-camphoraceous;pine;root;similar to valerian oil/borneol;tropical;woody,TGSC;FlavorBase10;SuperScent,,
96,101536.0,77-70-3,Ethyl 2-hydroxy-2-methylbutanoate,ethyl 2-hydroxy-2-methylbutanoate,caramel;caramellic;fruity;grape;nutty,caramel;caramellic;fruity (grape-like);nutty,TGSC;FlavorBase10;OdorRactor,,
97,6493.0,77-74-7,3-METHYL-3-PENTANOL,3-methylpentan-3-ol,camphoraceous;earthy;fermented;fruity;green;leafy,camphoraceous notes;earthy;fruity;green;leafy;somewhat fermented,TGSC;FlavorBase10;SigmaAldrich,,
98,6501.0,19464-95-0,77-83-8,ethyl 3-methyl-3-phenyloxirane-2-carboxylate,berry;candy;fatty;floral;fruity;honey;strawberry;sweet,berry;candy-like odor;fatty;floral;fruity;honey;strawberry;sweet,TGSC;FlavorBase10;SigmaAldrich;Flavorbase;Pubchem,,
99,6504.0,77-89-4,77-89-4,"triethyl 2-acetyloxypropane-1,2,3-tricarboxylate",odorless,odorless,TGSC,,
100,6505.0,77-90-7,77-90-7,"tributyl 2-acetyloxypropane-1,2,3-tricarboxylate",fruity;herbaceous;herbal;sweet;winey,fruity odor;herbaceous;herbal;sweet;winey,TGSC;FlavorBase10;SigmaAldrich;Pubchem,,
101,311.0,10402-15-0,citric acid,"2-hydroxypropane-1,2,3-tricarboxylic acid",acid;clean;lemon;odorless;tart,acid;lemon;odorless;odorless with a clean;tart taste,TGSC;FlavorBase10;SigmaAldrich,Audouze et al|https://doi.org/10.1371/journal.pone.0093037,OR51E1;;Or55b10;;Or55b4;
102,6506.0,8006-64-2,TRIETHYL CITRATE,"triethyl 2-hydroxypropane-1,2,3-tricarboxylate",bitter;fruity;odorless;plum;sweet;winey,fruity;odorless;slight bitter taste;sweet;winey;winey-fruity-plum-like odor,TGSC;FlavorBase10;SigmaAldrich;Pubchem,,
103,6507.0,77-94-1,TRIBUTYL CITRATE,"tributyl 2-hydroxypropane-1,2,3-tricarboxylate",herbal;odorless;plastic;solvent,herbal;plastic;used as a solvent;virtually odorless,TGSC;FlavorBase10,,
104,6532.0,78-35-3,Linalyl isobutyrate,"3,7-dimethylocta-1,6-dien-3-yl 2-methylpropanoate",apple;bergamot;berry;citrus;floral;fresh;fruity;juicy;lavender;sweet;woody,apple;bergamot;floral;fresh;fruity;juicy;lavender;sweet floral-fruity berry-citrus taste;woody,TGSC;FlavorBase10;OdorRactor,,
